wave flux err    
10469.4 146.702 121.26
10470.0 48.1784 88.4388
10470.6 0.336898 50.8418
10471.2 73.2674 45.7711
10471.8 77.1396 45.3516
10472.4 12.7293 45.2281
10473.0 28.4861 45.0905
10473.6 7.73258 45.2765
10474.2 3.88713 45.161
10474.8 65.7265 44.8821
10475.4 36.7043 44.6974
10476.0 21.8449 44.6961
10476.6 41.3838 44.6394
10477.2 58.5061 44.6882
10477.8 51.7775 44.4461
10478.4 33.1933 44.3595
10479.0 18.9501 44.4416
10479.6 30.0666 44.3365
10480.2 20.8851 44.3586
10480.8 36.2944 44.1703
10481.4 44.2937 44.3959
10482.0 1.41026 44.1014
10482.6 40.7526 43.8497
10483.2 22.7206 43.9191
10483.8 -4.80701 44.0609
10484.4 18.9044 43.8351
10485.0 56.9787 43.7547
10485.6 50.2608 45.1812
10486.2 36.1018 47.4346
10486.8 -8.93375 47.9999
10487.4 64.1399 47.6037
10488.0 43.4611 45.9523
10488.6 47.1529 44.4572
10489.2 57.7051 44.1153
10489.8 42.483 44.0839
10490.4 29.4144 43.4536
10491.0 -15.6482 43.5378
10491.6 29.3531 43.3727
10492.2 28.7906 43.7752
10492.8 18.5569 43.5857
10493.4 35.7397 43.4031
10494.0 8.03229 43.5916
10494.6 18.3395 44.9157
10495.2 32.8832 44.268
10495.8 51.221 43.7506
10496.4 -6.78529 43.7622
10497.0 46.2426 44.589
10497.6 -8.20844 46.5424
10498.2 9.95721 48.3763
10498.8 31.0571 58.5193
10499.4 44.5018 60.2651
10500.0 -11.4606 53.5253
10500.6 59.5795 43.7684
10501.2 16.744 43.26
10501.8 21.2598 43.3914
10502.4 52.6774 43.6706
10503.0 37.6038 43.9732
10503.6 28.2685 44.5605
10504.2 30.4193 44.169
10504.8 46.8035 44.2484
10505.4 25.067 44.0572
10506.0 29.0303 43.6556
10506.6 67.4093 44.0051
10507.2 1.88526 49.4462
10507.8 56.4874 57.7444
10508.4 28.0944 70.3437
10509.0 77.5711 73.7026
10509.6 89.201 73.296
10510.2 26.2589 61.7088
10510.8 34.4521 48.8496
10511.4 22.5978 46.9986
10512.0 22.9015 46.0117
10512.6 34.1938 48.1837
10513.2 28.7487 48.9057
10513.8 6.42058 46.6223
10514.4 8.70597 48.1744
10515.0 5.08153 47.9565
10515.6 34.6019 47.7991
10516.2 44.728 45.6613
10516.8 53.6669 45.3328
10517.4 47.7867 46.2614
10518.0 28.7869 44.4799
10518.6 42.881 48.2591
10519.2 73.6773 50.4722
10519.8 68.9997 44.9941
10520.4 27.7817 43.5374
10521.0 29.4865 43.3949
10521.6 -5.83995 43.702
10522.2 25.8016 43.3591
10522.8 11.0082 45.2257
10523.4 30.4149 65.2001
10524.0 84.5899 84.1209
10524.6 72.3061 93.2701
10525.2 71.0895 89.4519
10525.8 28.7056 71.3113
10526.4 11.5372 48.7523
10527.0 14.6705 43.9139
10527.6 -7.91194 44.2674
10528.2 35.7388 44.2391
10528.8 19.1975 43.9329
10529.4 22.5087 43.657
10530.0 27.7296 43.2271
10530.6 -16.6398 43.9295
10531.2 47.1154 43.5638
10531.8 59.7826 43.2705
10532.4 42.2474 43.155
10533.0 62.9347 43.6113
10533.6 23.0236 43.4296
10534.2 67.2535 43.5836
10534.8 -15.6547 43.3705
10535.4 34.1883 43.4838
10536.0 -8.7335 43.3087
10536.6 41.1859 43.2829
10537.2 32.4746 43.5805
10537.8 68.5082 47.0579
10538.4 62.9118 46.8794
10539.0 26.0602 49.3475
10539.6 58.9276 47.8521
10540.2 42.4868 46.3469
10540.8 31.614 43.477
10541.4 39.4437 43.508
10542.0 17.8298 43.4883
